"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"There are no shipping labels related to selected orders.","There are no shipping labels related to selected orders."
"Please select order(s) and actions to run on orders.","Please select order(s) and actions to run on orders."
"The custom order status which should be set for an order after completing it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped.","The custom order status which should be set for an order after completing it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped."
"The custom order status which should be set for an order after shipping it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped.","The custom order status which should be set for an order after shipping it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped."
"The custom order status which should be set for an order after invoicing it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped.","The custom order status which should be set for an order after invoicing it does not exist anymore. Please make sure you set a valid custom order status at System > XTENTO Extensions > Simplify Bulk Order Processing. Processing stopped."
"Attention: The installed extension version is not compatible with Magento Enterprise Edition. The compatibility of the currently installed extension version has only been confirmed with Magento Community Edition. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition version of this extension.","Attention: The installed extension version is not compatible with Magento Enterprise Edition. The compatibility of the currently installed extension version has only been confirmed with Magento Community Edition. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition version of this extension."
"Could not process order with entity_id %1. Order has been deleted in the meantime?","Could not process order with entity_id %1. Order has been deleted in the meantime?"
"Click <a href=""%1"" target=""_blank"">here</a> to print the invoice PDF for processed orders.","Click <a href=""%1"" target=""_blank"">here</a> to print the invoice PDF for processed orders."
"Click <a href=""%1"" target=""_blank"">here</a> to print the packing slip PDF for processed orders.","Click <a href=""%1"" target=""_blank"">here</a> to print the packing slip PDF for processed orders."
"Click <a href=""%1"" target=""_blank"">here</a> to print the shipping label PDF for processed orders.","Click <a href=""%1"" target=""_blank"">here</a> to print the shipping label PDF for processed orders."
"Total of %1 order(s) were modified.","Total of %1 order(s) were modified."
"(Re-)send order email (notify Customer)","(Re-)send order email (notify Customer)"
"Invoice (notify Customer)","Invoice (notify Customer)"
"Invoice (don't notify Customer)","Invoice (don't notify Customer)"
"(Re-)send invoice email (notify Customer)","(Re-)send invoice email (notify Customer)"
"Invoice / Print (notify Customer)","Invoice / Print (notify Customer)"
"Invoice / Print (don't notify Customer)","Invoice / Print (don't notify Customer)"
"Capture Payment","Capture Payment"
"Ship (notify Customer)","Ship (notify Customer)"
