"All imports are logged here. Use this to easily find failed imports.","All imports are logged here. Use this to easily find failed imports."
"No files saved.","No files saved."
"No Result","No Result"
Success,Success
Warning,Warning
Failed,Failed
"No source selected. Enable in the ""Import Sources"" tab of the profile.","No source selected. Enable in the ""Import Sources"" tab of the profile."
"--- Select Profile---","--- Select Profile---"
"%1 Import","%1 Import"
"ID: %1","ID: %1"
"Add New Profile","Add New Profile"
"Duplicate Profile","Duplicate Profile"
"Save Profile","Save Profile"
"Delete Profile","Delete Profile"
"Save and Continue Edit","Save and Continue Edit"
"The actions set up below will be applied to all manual and automatic imports, in the sort order set up below.","The actions set up below will be applied to all manual and automatic imports, in the sort order set up below."
Actions,Actions
"Cronjob Import","Cronjob Import"
"<strong>Important</strong>: To use cron job imports, please make sure the Magento cronjob has been set up as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a>.","<strong>Important</strong>: To use cron job imports, please make sure the Magento cronjob has been set up as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a>."
"Cron seems to be running properly. Seconds since last execution: %1","Cron seems to be running properly. Seconds since last execution: %1"
"Cron doesn't seem to be set up at all. Cron did not execute within the last 15 minutes.","Cron doesn't seem to be set up at all. Cron did not execute within the last 15 minutes."
"Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again.","Please make sure to set up the cronjob as explained <a href=""http://support.xtento.com/wiki/Setting_up_the_Magento_cronjob_(Magento_2)"" target=""_blank"">here</a> and check the cron status 15 minutes after setting up the cronjob properly again."
"Cron doesn't seem to be set up properly. Cron did not execute within the last 15 minutes. Last execution was %1 seconds ago.","Cron doesn't seem to be set up properly. Cron did not execute within the last 15 minutes. Last execution was %1 seconds ago."
"Cron status wasn't checked yet. Please check back in 30 minutes.","Cron status wasn't checked yet. Please check back in 30 minutes."
"Cronjob Status","Cronjob Status"
"Enable Cronjob Import","Enable Cronjob Import"
"Import Frequency","Import Frequency"
"How often should the import be executed?","How often should the import be executed?"
"Custom Import Frequency","Custom Import Frequency"
"A custom cron expression can be entered here. Make sure to set ""Cronjob Frequency"" to ""Use custom frequency"" if you want to enter a custom cron expression here. To set up multiple cronjobs, separate multiple cron expressions by a semi-colon ; Example: */5 * * * *;0 3 * * * ","A custom cron expression can be entered here. Make sure to set ""Cronjob Frequency"" to ""Use custom frequency"" if you want to enter a custom cron expression here. To set up multiple cronjobs, separate multiple cron expressions by a semi-colon ; Example: */5 * * * *;0 3 * * * "
"This is no valid cron expression.","This is no valid cron expression."
"Automatic Import","Automatic Import"
"This profile is disabled. No automatic imports will be made and the profile won't show up for manual imports.","This profile is disabled. No automatic imports will be made and the profile won't show up for manual imports."
"General Configuration","General Configuration"
Name,Name
Enabled,Enabled
"File Processor","File Processor"
"This setting can't be changed after creating the profile. Add a new profile for different import processors.","This setting can't be changed after creating the profile. Add a new profile for different import processors."
"Import Entity","Import Entity"
"This setting can't be changed after creating the profile. Add a new profile for different import types.","This setting can't be changed after creating the profile. Add a new profile for different import types."
Continue,Continue
"This is the import processor for imported %1 files. Your import format needs to be mapped to Magento fields here.","This is the import processor for imported %1 files. Your import format needs to be mapped to Magento fields here."
